Автор,Название статьи,Категория,Уровень сложности,Время на прочтение (ч.),Количество просмотров (тыс.),Рейтинг,Добавить в закладки,Комментарии
alizar,Дегуглификация Chromium,Туториал,Простой,0.1,41.0,+92,"
    135
  ",103
DigitalTatarstan,Как мы собираемся дать ИИ и гражданам доступ в госуправление: кейс Татарстана,Кейс,,0.07,1.0,+3,"
    6
  ",3
mr-pickles,Исследование режима Copy-on-Write в pandas. Часть 1,Перевод,Средний,0.17,2.9,+8,"
    25
  ",1
ptsecurity,"Поймай меня, если сможешь: как найти хакера в инфраструктуре с помощью ML",,,0.15,5.0,+5,"
    27
  ",9
smart_alex,Скромное обаяние ClimateGuard CG Mini,Обзор,Простой,0.12,3.7,+16,"
    28
  ",9
GenkaOk,Расстаемся с облаками на примере Sonoff,Туториал,Средний,0.12,15.0,+8,"
    64
  ",20
rvnikita,Digital-мероприятия в Санкт-Петербурге c 30 октября по 5 ноября,Дайджест,,0.02,0.506,0,"
    0
  ",0
rvnikita,Digital-мероприятия в Москве c 30 октября по 5 ноября,Дайджест,,0.02,0.459,+1,"
    2
  ",0
aio350,System Design 101,Перевод,Средний,0.7,24.0,+69,"
    428
  ",14
it_union,Миграция с Huawei SoftX3000 на Eltex ECSS-10,Кейс,Средний,0.13,3.3,+12,"
    5
  ",8
AshotD,Как написать новостной Телеграм-канал если ты не программист. Часть вторая,,Средний,0.25,4.2,+3,"
    53
  ",1
RationalAnswer,"Дуров планирует собирать деньги на Телеграм, а вокруг карт VISA для россиян развернулся хайп-скандал",Дайджест,,0.08,36.0,+15,"
    10
  ",15
aaplpro,Apple Pro Weekly News (23.10 – 29.10.23),Дайджест,,0.13,0.876,+2,"
    0
  ",0
YBCase,"Стратегическое руководство по регистрации предприятия во Вьетнаме: шаги, сроки и требования",,,0.27,0.507,0,"
    5
  ",0
sahsAGU,"Создание приложения для real-time обмена геоданными с React, Socket.io и Leaflet",Перевод,Средний,0.23,3.1,+5,"
    57
  ",0
fafnur,Решение задачи про определение типа в Typescript с Yandex Cup 2023,,Средний,0.17,8.2,+17,"
    51
  ",31
SergioShpadi,Слово Божие — функциональное программирование как основа Вселенной,,Средний,0.25,31.0,+43,"
    181
  ",102
rukhi7,C# делегаты изнутри. Можно ли расширить С++ стандарт для поддержки делегатов в стиле C#,Туториал,Сложный,0.22,5.9,-1,"
    30
  ",26
DRoman0v,"Casio BP-1000, MacBook 1466 и нестандартные кассеты: новые находки на испанской барахолке",,,0.08,9.4,+42,"
    11
  ",30
Artsfactory,Idle Berserker UI solutions,Из песочницы,Средний,0.08,1.6,+5,"
    8
  ",12
petuhoff,7. Точность систем автоматического регулирования (ч. 2),Туториал,Средний,0.1,2.9,+13,"
    49
  ",13
AndrewTheMaster,Поиск пересечений между отрезком и прямой или прямой и прямой в трехмерном пространстве,Из песочницы,Простой,0.05,2.8,+2,"
    21
  ",11
EvgeniiGerasin,Улучшение дизайн-ревью в Google,Перевод,Средний,0.23,1.2,0,"
    12
  ",3
GlobalSign_admin,John the Ripper и Hashcat. Эволюция брутфорса,,,0.07,3.8,+3,"
    17
  ",10
stachevm,Как мне захотелось систематизировать виды тестирования,Из песочницы,Простой,0.18,16.0,+32,"
    209
  ",25
SergiiDia,Альтернативные клиенты для мессенджеров. Стоит ли вообще обращать на них внимание?,,Простой,0.08,5.4,+2,"
    18
  ",23
BowerJean,Как я отправил деньги на карту друга в Казахстан: Хождение по мукам,Из песочницы,Простой,0.07,6.0,+7,"
    27
  ",17
dotnetchik,Реквием по Одиночке,Из песочницы,Простой,0.03,8.3,-4,"
    11
  ",4
xeovo,Как оплатить VPN криптовалютой,,,0.08,5.9,+12,"
    46
  ",12
blessque,Как правильно смотреть и использовать конкурентов на пользу продукту: 5 неочевидных практик,Из песочницы,Простой,0.07,2.4,+5,"
    32
  ",3
vrezvov,Отправляем уведомления в определенный топик в чате Telegram,Из песочницы,Простой,0.07,2.8,+3,"
    49
  ",4
Denis_Zelenykh,Парочка полезных роликов по работе с дизайн-системами от больших продуктовых команд,Обзор,Простой,0.05,1.3,+1,"
    17
  ",0
Sukhachev_KIR,Сборник встраиваемых модулей на ПЛИС,,Простой,0.1,7.0,+20,"
    44
  ",23
gfx_pro,Превращаем SDR монитор в псевдо-HDR в видеоплеере mpv,Туториал,Простой,0.05,3.7,+2,"
    19
  ",13
ryazancevnik,Как преодолеть трудности разработки мобильного центра принятия решений,Ретроспектива,Средний,0.18,0.445,-2,"
    3
  ",0
ArsindeDeToulouse,ActivityResult API и Compose,Туториал,Простой,0.02,1.2,0,"
    8
  ",4
emilov,Как я добился чистой архитектуры на фронтенде,Кейс,Простой,0.05,14.0,-10,"
    42
  ",26
Bright_Translate,"Архитектура MMO: источник истины, потоки данных, узкие места I/O и их устранение",Перевод,Простой,0.1,5.5,+51,"
    46
  ",3
MrDecentralized,Искусственный интеллект на Python с использованием TensorFlow и Keras,Из песочницы,Средний,0.15,13.0,-1,"
    86
  ",12
MiraclePtr,FAQ по Shadowsocks/XRay/XTLS/Reality/Nekobox/etc. для обхода блокировок,FAQ,Простой,0.27,22.0,+61,"
    277
  ",59
ProductivityInside,Мобильная разработка за неделю #512 (23 — 29 октября),Дайджест,,0.08,2.2,+3,"
    14
  ",1
DenSyo,IP калькулятор глазами админа или инструмент для работы со списками сетей,Recovery Mode,Средний,0.17,12.0,+7,"
    41
  ",5
Petr0v1,Секреты ядра нашей планеты скрыты под Баффиновой Землёй,,,0.07,15.0,+2,"
    17
  ",21
OldfagGamer,Ностальгические игры: Serious Sam,Ретроспектива,Простой,0.22,11.0,+71,"
    21
  ",18
KeepError,Искусство хакатонов: Как раскодировать путь к победе,Из песочницы,Простой,0.07,2.3,+3,"
    20
  ",1
arturdumchev,"Обращение к издательствам: пожалуйста, не переводите термины",Мнение,Простой,0.03,31.0,+86,"
    38
  ",561
Andrey_Biryukov,Пентест физических идентификаторов. Часть 1,Обзор,Простой,0.1,2.2,-1,"
    13
  ",2
Petolog,Метавселенная как переходная стадия к «полному погружению»,Recovery Mode,Средний,0.17,2.5,0,"
    9
  ",18
robesper,Психотравма как шаблон мышления,Мнение,Сложный,0.17,13.0,+8,"
    84
  ",23
Number571,История о том как я на один из самых дешёвых Orange Pi анонимную сеть пытался накатывать,Кейс,Сложный,0.17,11.0,+10,"
    48
  ",4
MaxRyazan,Vue3 provide-inject di,Туториал,Средний,0.08,3.0,+9,"
    32
  ",14
Anna-Beltanner,Ситуация на российском рынке Android-разработки. Как разработчику оставаться востребованным специалистом?,Дайджест,Простой,0.2,9.4,+1,"
    48
  ",13
ur_0s,Введение в Чистую архитектуру через 6 кругов рефакторинга,Перевод,Средний,0.25,30.0,+10,"
    172
  ",3
Ekamelev,Как я совмещаю в себе токсичного человека и приятного собеседника,,,0.02,14.0,+42,"
    80
  ",66
AKlimenkov,"Как найти статьи-бриллианты? Три полезные кнопки, которые так нужны Хабру",Мнение,,0.07,8.2,+88,"
    45
  ",79
valisak,Могут ли в нашей Вселенной существовать магнитные монополи?,Аналитика,Средний,0.13,17.0,+58,"
    46
  ",51
WillyWodka,Решаем трудности адаптации мобильных приложений с Responsive_framework,Из песочницы,Средний,0.1,1.1,+8,"
    12
  ",0
badcasedaily1,Разработка real-time приложений с Python и WebSocket,Обзор,Простой,0.25,11.0,+24,"
    155
  ",16
BeQuick,Освоение AWS CDK: настройка пользовательского домена для вашего HTTP-шлюза,Перевод,Простой,0.12,1.1,+3,"
    22
  ",4
AlexSmithPsy,Как справиться с эмоциональным выгоранием. 13 советов,Мнение,Средний,0.12,3.2,-6,"
    34
  ",9
Erwinmal,"Тыквы, вампиры и ведьмы: откуда взялся Хеллоуин и за что его (не) любят в Сети?",Обзор,Простой,0.22,13.0,+54,"
    42
  ",77
svgnovosibirsk,Keyboard Layout Guide,,,0.05,1.9,0,"
    10
  ",7
iMonin,Двухтрубные системы отопления тупикового и попутного типа. Мнимая магия «петли Тихельмана»,,,0.35,34.0,+64,"
    176
  ",172
BiktorSergeev,NorthPole: энергоэффективный процессор от IBM для ИИ-приложений с 22 млрд транзисторов. Возможности чипа,,,0.07,5.1,+36,"
    15
  ",0
SLY_G,Вам не нужен новый iPhone — вам просто нужен новый аккумулятор,Перевод,,0.08,26.0,+10,"
    20
  ",92
GeeksCat,Как создавалась Mount & Blade,Ретроспектива,Простой,0.13,9.5,+30,"
    29
  ",3
stiger19,"Программируем и отлаживаем STM32 через USB Type-C порт, не нарушая спецификации USB",Из песочницы,Простой,0.03,12.0,+37,"
    96
  ",11
fish224,"5 известных нерешённых задач, условие которых нетрудно понять",,,0.05,38.0,+51,"
    65
  ",81
Pavel_nobranch,Как я упростил продукт в 10 раз,Мнение,Простой,0.03,16.0,+1,"
    20
  ",17
kodor,Gitea & Act Runner: First touch,Из песочницы,Простой,0.07,3.2,+24,"
    31
  ",7
Seleditor,Orange Pi OS: конкурента Rapsberry Pi OS теперь адаптируют для x86-систем и не только,,,0.05,5.7,+27,"
    28
  ",6
KirillovDV,QA Documentation. Как я автоматизировал самую нелюбимую часть работы — написание ReleaseNotes,,Простой,0.13,10.0,+9,"
    70
  ",6
NutsUnderline,Data Visualizer — отображение данных с микроконтроллера,Туториал,Простой,0.08,8.8,+9,"
    58
  ",12
AstraLinux_Group,FreeIPA vs Samba AD,Ретроспектива,Простой,0.2,10.0,+12,"
    54
  ",31
kirillkosolapov,Деплой приложения на сервер через push в Git. Или как перенести сайт или бот на хостинг в 3 действия,Туториал,Средний,0.07,7.2,+4,"
    82
  ",7
SergeySabbath,Книжный кружок. Рецензия на книгу «Микросервисы от архитектуры до релиза»,Обзор,Простой,0.07,8.1,+12,"
    81
  ",2
MaxRokatansky,C++23: четыре новых ассоциативных контейнера,Перевод,,0.07,11.0,+14,"
    51
  ",10
divolko3,Пссс… нужен RISC-V-ноутбук для разработчиков? Встречаем Lichee Console 4A и другие модели,,,0.05,7.6,+20,"
    15
  ",13
MegaplanCEO,Стресс от отдыха — болезнь трудоголиков и опасный симптом эпохи достигаторства,Перевод,,0.13,5.9,+5,"
    44
  ",11
Oksana_Nedvigina,Чтение на выходные: «Теперь вы это видите. И другие эссе о дизайне» Майкла Бейрута,Обзор,Простой,0.05,1.2,+3,"
    12
  ",1
Normalname,Как тяжелый монолит обернуть в удобный интерфейс,Ретроспектива,Простой,0.17,3.7,+15,"
    48
  ",5
AndreyMitrofanov,"Акробата нет, но вы держитесь. Чем редактировать PDF?",,,0.12,37.0,-9,"
    47
  ",54
Sivchenko_translate,"Что я хотел бы знать заранее, когда выкупал себе целую ASN",Перевод,,0.27,9.8,+24,"
    54
  ",9
Andrey_Biryukov,Установка и безопасная настройка Redis,Туториал,Простой,0.08,6.3,+3,"
    89
  ",5
EkaterinaMz,Как ранжируются сайты в тематике «Спорттовары»,Recovery Mode,Средний,0.05,0.583,-4,"
    2
  ",1
PatientZero,Мнение три года спустя: стоил ли того переход с JavaScript на Rust?,Перевод,Средний,0.12,35.0,+53,"
    82
  ",58
Bright_Translate,Как в 180 000 раз ускорить анализ данных с помощью Rust,Перевод,Средний,0.3,15.0,+64,"
    95
  ",12
tamarka1299,Цифровой паспорт оборудования промышленного производства,,Простой,0.13,1.1,+5,"
    17
  ",3
dentsuRU,Как мы определили веса алгоритмов ранжирования крупнейших маркетплейсов на открытых данных,Кейс,Простой,0.1,3.9,+9,"
    43
  ",7
artydev,Как мы заинжектили кнопку на Behance,Кейс,Простой,0.05,1.9,+4,"
    16
  ",6
Lithium_vn,ИИ выходит на новый уровень: LLM обретают пространственно-временную картину мира,Обзор,Средний,0.08,33.0,+11,"
    72
  ",47
s_valuev,"MLOps-инструменты, обзоры рынка и тренды потоковой обработки данных",Дайджест,Средний,0.1,2.9,+29,"
    31
  ",0
Phoenix133,Детекция машин на мобилке в 2023. С какими проблемами мы столкнулись и как решали,Кейс,,0.15,2.7,+8,"
    37
  ",2
igor_zvyagin,File upload на React.js шаг за шагом,Туториал,Средний,0.3,3.1,+11,"
    74
  ",4
SuperLeha,Как защитить свою форму верификации от ботов,Recovery Mode,Средний,0.07,1.3,-13,"
    14
  ",0
nikitych1,Playground. Как сэкономить время на настройке локальной среды,Кейс,,0.35,2.4,+14,"
    34
  ",3
DanilChushko,"Гайд по микрофронтендам на single-spa, или Как уже наконец-то уйти от монолита во фронтенде",Туториал,Средний,0.15,7.4,+20,"
    91
  ",18
badcasedaily1,Использование Istio для управления трафиком и мониторинга в микросервисах,Обзор,,0.12,4.5,+12,"
    54
  ",10
dereyly,От Style Transfer до диффузии: эволюция визуальных эффектов на смартфонах,,Средний,0.18,1.0,+12,"
    10
  ",1
ProductivityInside,Куда уходят разработчики после сокращений?,Перевод,,0.1,19.0,+12,"
    24
  ",26
MAKO_digital,"Как страшненький лендинг Midjourney втрое повысил конверсию, а банальные тексты Chat GPT оказались вдвое кликабельнее",Мнение,Простой,0.13,15.0,+2,"
    28
  ",10
Catherine_Romanova,Автопровижининг телефонов Yealink. Часть 3,Туториал,,0.07,1.9,+5,"
    17
  ",3
SLY_G,"Согласно новой теории, цивилизации могут очень быстро распространяться по Вселенной",Перевод,,0.13,5.2,+8,"
    21
  ",50
badcasedaily1,Сравнение алгоритмов балансировки нагрузки: Round Robin vs. Least Connections vs. IP Hash,Обзор,Простой,0.2,2.9,+10,"
    44
  ",3
Flamyatina,"Работа над доступностью: с чего начать, куда копать, как оценить прогресс",,,0.12,0.745,+9,"
    23
  ",0
KivApple,Интеграция Axum с S3-хранилищем,Туториал,Средний,0.12,0.666,0,"
    5
  ",8
Petr0v1,Космос становится всё более привлекательным местом для добычи полезных ископаемых. Возможности и перспективы,,,0.07,2.5,+16,"
    12
  ",39
anton_esh,История одной Real-Time-рекомендательной системы: пример построения решения от нуля до реализации,,,0.15,1.7,+17,"
    14
  ",0
LeoGV,Grafana Beyla: автоинструментарий eBPF с открытым исходным кодом для наблюдения за приложением,Перевод,Простой,0.17,3.5,+25,"
    29
  ",1
ap_security,HackTheBox Authority writeup- получаем права админа через PassTheCert,Туториал,Средний,0.05,0.994,+1,"
    13
  ",0
randall,"Объясняем простым языком, что такое трансформеры",Перевод,Простой,0.2,12.0,+36,"
    79
  ",2
SLY_G,"Космическая фабрика по производству лекарств, которая не может вернуться домой",Перевод,,0.1,11.0,+20,"
    16
  ",75
ryazancevnik,Какие проблемы возникают при разработке мобильных центров принятия решений,Ретроспектива,Простой,0.07,0.574,-1,"
    11
  ",0
Cyberprotect,Быстрое клонирование окружений с OpenStack с внешним DHCP,,Средний,0.17,1.3,+2,"
    17
  ",0
SergioMalecci,Южно-Сахалинск: самый ̶я̶п̶о̶н̶с̶к̶и̶й̶ корейский город страны,Обзор,,0.33,20.0,+74,"
    56
  ",43
EliasFonShtolts,"ИТ-шансон, или как ChatGPT (не) помогает в работе",Из песочницы,Простой,0.03,14.0,+22,"
    26
  ",49
FirstJohn,Машинное обучение помогает классическому моделированию квантовых систем,Перевод,Средний,0.1,1.4,+1,"
    19
  ",0
MaFrance351,Первый массовый советский домофон,Ретроспектива,Средний,0.15,12.0,+64,"
    26
  ",78
ph_piter,Конкурентный отказ,Перевод,,0.18,3.2,+7,"
    15
  ",3
bums,Очень странные дела: как мы столкнулись с аномальной зоной на складе,Кейс,Простой,0.12,4.9,+20,"
    19
  ",6
AstroTubo,Вероятность столкновения астероида Бенну с Землёй после 2170 года,,,0.07,1.1,+5,"
    6
  ",2
sacredtree,Тайные хранилища мира: где и как хранятся национальные запасы золота и другие ценности человеческой цивилизации,Обзор,Простой,0.12,4.9,+15,"
    27
  ",17
SLY_G,Американская паровая империя,Перевод,,0.3,6.9,+24,"
    32
  ",9
ITMan82,Большая миграция из Кремниевой долины не удалась. Люди едут обратно,,Простой,0.12,36.0,+65,"
    70
  ",386
StepKsu,Разбор задач Школы программистов 2023,,,0.1,7.9,+7,"
    55
  ",4
TechThink,Записки архитектора. Как давать имена приложениям и сервисам,,Средний,0.52,6.8,+5,"
    50
  ",11
Krisdes,"LanitFest: как мы выясняли, что общего у ИТ и кулинарии",,Простой,0.05,1.5,+19,"
    8
  ",2
Dmytro_Kikot,"ГМО-детектор: растение, меняющее цвет в ответ на токсин",,,0.22,0.846,+14,"
    11
  ",5
katherine_a,Проектирование REST API: спорные вопросы с проектов и собеседований на системного аналитика (и не только),Туториал,Средний,0.22,18.0,+20,"
    181
  ",194
Ekamelev,"Подождите, сейчас я вас переключу на другого сотрудника…",,,0.03,5.4,+2,"
    10
  ",9
MR_VF,Ад Топинамбура,Кейс,Простой,0.12,5.4,+3,"
    14
  ",12
omyhosts,Как я перестал бояться и полюбил Vim,Перевод,,0.15,37.0,+42,"
    182
  ",443
igor_suhorukov,Где 15 минут пешком от дома до метро в Москве и как различать панельные дома…,,Средний,0.27,7.4,+13,"
    55
  ",42
Dreamlone,“Ну и долго мне ещё до магазина?” Или пара слов о геоинформационном анализе с помощью Python,Кейс,Средний,0.18,3.9,+9,"
    72
  ",0
AmneziaAdept,"Создаем свой VPN с защищенным от блокировок протоколом AmneziaWG, или WireGuard на максималках",,,0.07,84.0,+106,"
    672
  ",114
hack_less,API: гайд для самых маленьких,Recovery Mode,Простой,0.1,9.6,-10,"
    51
  ",4
titanium007,Global Talent visa для IT-ника. Путь с нуля,Туториал,Простой,0.18,4.5,+6,"
    50
  ",13
badcasedaily1,Борьба с несбалансированными данными,Обзор,Средний,0.2,2.5,+9,"
    50
  ",2
Friflex_dev,Flutter Yandex Mapkit: как внедрить основные инструменты Яндекс Карт в проект на Flutter. Часть 2,Туториал,Средний,0.43,0.963,+3,"
    10
  ",0
Beeline_tech,"Настройка NVMe over TCP — для тех, кому надо подключить больше 1 диска единственной конфигурации из всех примеров в Сети",Кейс,Средний,0.22,11.0,+20,"
    62
  ",8
Mixail_Sviridov,Производителей ARM-процессоров становится больше: теперь и AMD с Nvidia. А вот у RISC-V проблемы,,,0.07,10.0,+25,"
    12
  ",26
ko_ya,5 примечательных IT-компаний из Карибского региона,Обзор,Простой,0.05,0.827,0,"
    8
  ",0
Sellatonys,"«Берегите платье снову, а персональные данные смолоду»: рассуждения и советы по цифровой гигиене",Мнение,Простой,0.2,7.7,+42,"
    62
  ",22
plotn1,"Электронные книги? Аудиокниги? Смешать, но не взбалтывать",,Простой,0.22,11.0,+12,"
    45
  ",22
vladischuk,"Как мы обезличиваем ПДн, сохраняя их смысл и качество. Чтобы тестовый стенд был полезным, будто там данные с прода",,Средний,0.3,2.6,+14,"
    35
  ",7
glebsarkisov,Куда девать 300 багов: автоматизация бэклога и RICE для багов,Кейс,Простой,0.17,2.5,+18,"
    25
  ",0
Lunathecat,Почти классический овердрайв Tube Screamer,Ретроспектива,Простой,0.13,4.5,+41,"
    34
  ",20
kuzmimrn,Слышать клиентов и решать их задачи вовремя: гайд по управлению бэклогом B2B-продукта,Кейс,Средний,0.17,0.498,+3,"
    12
  ",1
Milfgard,На какие вопросы викторин интереснее всего отвечать,,,0.2,6.9,+48,"
    30
  ",69
MaxRokatansky,Как получить работу в области Data Science? 8 простых шагов,Перевод,Простой,0.17,11.0,+8,"
    75
  ",3
frontedward,Anytype вместо Notion,Из песочницы,Простой,0.03,12.0,+8,"
    51
  ",39
divolko3,AOOSTAR R1: десктопный компьютер и NAS в одном флаконе. Что это за девайс и на что он способен?,,,0.05,6.5,+19,"
    8
  ",15
em1nx,Мутации в микросервисах: ставим задачу,Из песочницы,Средний,0.07,7.0,+4,"
    57
  ",16
em1nx,Мутации в микросервисах: ставим задачу,Из песочницы,Средний,0.07,7.0,+4,"
    57
  ",16
CyberPaul,ERNIE — удивительный компьютер на военных технологиях,Ретроспектива,Простой,0.12,10.0,+57,"
    35
  ",11
ptsecurity,Как экспертиза в области мониторинга событий ИБ помогает создавать качественные продукты. Часть 3,,,0.1,1.2,0,"
    10
  ",0
cool4uma,Автоматизация Swimlanes на досках Jira,Туториал,Простой,0.03,1.0,+5,"
    11
  ",0
LightKitten,Как и зачем мы парсим XML,Кейс,Простой,0.25,4.2,+11,"
    37
  ",12
vesaniv,Автоматизация казначейских операций в туроператоре на базе 1С: ERP,Из песочницы,,0.07,1.6,+2,"
    3
  ",6
saipr,И на Марсе будут яблони цвести. Весточка из прошлого века,Ретроспектива,Простой,0.03,5.1,+26,"
    19
  ",101
FirstJohn,Адаптивный дизайн приложений на Gtk,Туториал,Средний,0.12,2.0,+5,"
    14
  ",2
SLY_G,"Самые дорогие материалы в науке совсем не те, о которых вы могли подумать",Перевод,,0.07,25.0,+62,"
    42
  ",52
leeemonjuice,Головоломки на Python: Увлекательный Путь к Мастерству в Программировании,Из песочницы,Простой,0.07,13.0,+2,"
    75
  ",21
BaJlepa,Что общего у приватности и феодализма,Мнение,Простой,0.07,2.6,+7,"
    21
  ",61
itglobalcom,"Серверы из линейки vStack-R, как альтернатива оборудованию западных вендоров",Обзор,,0.08,2.1,+12,"
    6
  ",5
shiru8bit,Войны битов,Ретроспектива,Простой,0.62,10.0,+84,"
    55
  ",13
Evgeniya_Ershova,История одного внедрения корпоративной программы лояльности SAP,Кейс,Простой,0.12,1.4,-4,"
    2
  ",7
Cloud4Y,Вспоминаем MUD — настоящего динозавра среди MMORPG,Перевод,,0.13,3.0,+17,"
    27
  ",18
AlexanderPischulin,Один на 150 миллионов операций. Расследуем причины выброса времени отклика в операциях ввода-вывода,Ретроспектива,,0.2,2.8,+24,"
    25
  ",6
nbelyh,Как можно использовать .NET из Javascript (React) в 2023 году,Из песочницы,Средний,0.08,5.4,+10,"
    45
  ",12
Vadim_Shepelev,Сколько попугаев выдает ваш WAF? Обзор утилит для тестирования,,Средний,0.15,1.4,+2,"
    12
  ",0
devalio,"Yet Another Easyjson. Как я не устаю делать велосипеды, а главное зачем",Туториал,Средний,0.27,2.9,+14,"
    18
  ",2
melnikovaad,Путевые заметки: мудрость местных. Часть 3,Ретроспектива,Простой,0.08,1.6,+8,"
    27
  ",1
Andrey2008,"Опечатки, нулевые указатели и коварный таб: 33 фрагмента в библиотеке GTK",,Средний,0.2,3.8,+12,"
    12
  ",6
IvanMimo,Как пропатчить планшет под OpenSuSE,Кейс,Простой,0.15,7.6,+41,"
    44
  ",27
Hanamime,"Мечта о российском АРМ: как заменить зарубежные мониторы, мышки и периферию",Мнение,Простой,0.1,3.4,+1,"
    8
  ",22
TimurTukaev,Что такое API-шлюзы и Gateway API и почему за ними будущее нативных облачных приложений,Перевод,Средний,0.17,15.0,+20,"
    124
  ",0
sashadzen,"Путь от 0 до первых 100 заказов. Как мы помогли вырасти стартапу, создав удобный сервис по аренде яхт",Кейс,Простой,0.13,2.0,+1,"
    26
  ",1
pcbteach,"Разработка и тестирование целочисленного сумматора с AXI-Stream интерфейсами, часть 2",Из песочницы,Простой,0.33,0.851,+7,"
    15
  ",0
katerina_chernykh,"Как перезагрузиться, пройдя пешком 250 км, или каким был для меня Путь Сантьяго",,,0.18,4.7,+22,"
    52
  ",11
Digital_Academy,Как мы растим своих джунов,,,0.18,13.0,+33,"
    55
  ",14
sherweb,В потоке лендингов: путь к автоматизации,Кейс,Средний,0.27,1.7,+2,"
    17
  ",2
Dmitrii43,"Склад, авто, аптека: мониторинг условий хранения и перевозки лекарственных средств",,Простой,0.17,1.6,+15,"
    10
  ",7
xsevenbeta,"Можно ли усилить погружение в виртуальную реальность с помощью транса, или мечтают ли игроки Oculus Quest 5 о ПТСР",Мнение,Средний,0.47,2.7,+19,"
    13
  ",34
Shpankov,Vivaldi 6.4 — Расширение возможностей,,Простой,0.03,3.2,+11,"
    3
  ",56
Kisel_n,Celery: изучаем на реальных примерах ч.1,Туториал,Простой,0.1,3.8,+4,"
    60
  ",4
AshBlade,CRC — это просто (деление столбиком),,Простой,0.15,4.5,+25,"
    53
  ",6
galua,УМНИК Нейронет: стоило ли ввязываться,Мнение,Простой,0.12,1.4,+4,"
    10
  ",15
Seleditor,"Право на ремонт продолжает распространяться по миру. Отношение к частному ремонту у Apple, Microsoft, Sony",,,0.08,7.4,+38,"
    12
  ",31
K0shi,"Автосборка Fsbl, U-Boot, linux kernel и установка debian для arm64 для Zynq Ultrascale zcu106",Туториал,Средний,0.25,2.1,+16,"
    41
  ",9
Sukhachev_KIR,"Простой последовательный интерфейс «SINT» для связи двух ПЛИС, и не только",,Простой,0.1,2.8,+18,"
    23
  ",18
kkmspb,Пишем свой QTableView с нуля,Туториал,Сложный,0.1,8.7,+16,"
    42
  ",44
don_alex_88,Простой пример ИИ для управления роботом. TensorFlow + Node Js,,Простой,0.1,5.9,+7,"
    75
  ",9
sim6a,"Kafka, go и параллельные очереди",Туториал,Простой,0.17,6.8,+11,"
    84
  ",19
NeGoy,Fragment и Toncoin сегодня,Обзор,Простой,0.08,4.5,+2,"
    10
  ",13
xeovo,Рынок данных в даркнете: как купить чужие данные и не потерять свои,,,0.38,11.0,+18,"
    76
  ",22
Sukhachev_KIR,Простое CPU ядро на ПЛИС,Из песочницы,Простой,0.08,13.0,+54,"
    102
  ",20
shpyrkova,Зачем Git тестировщику,Мнение,Простой,0.08,6.5,+1,"
    48
  ",4
Albert_Wesker,8 углубленных вопросов на собеседованиях на роль сеньора в JavaScript,Перевод,Средний,0.22,19.0,+15,"
    124
  ",37
Oksana_Nedvigina,От кинодивы Золотого века до «Системы секретной коммуникации»: жизнь актрисы и изобретательницы Хеди Ламарр,Ретроспектива,Простой,0.13,2.0,+8,"
    16
  ",5
divolko3,6 полезных инструментов на основе ИИ для разработчиков,,,0.07,7.2,+14,"
    100
  ",2
MarkoffIN,"Road Run, или как я свою первую игру делал. Часть 1",Из песочницы,Простой,0.22,4.9,+19,"
    41
  ",1
gentoocat,"Попытка получения исходников ядра от производителей, и последующее хамство от них",Из песочницы,Простой,0.07,56.0,+450,"
    105
  ",407
badcasedaily1,Реализация консенсусного алгоритма Raft,Обзор,Простой,0.2,1.9,+13,"
    31
  ",1
ru_vds,Как Rust меняет мышление разработчика,Перевод,Простой,0.15,41.0,+85,"
    181
  ",147
FrD1,SwiftUI: от сомнений к успешному внедрению,Ретроспектива,,0.17,1.7,+6,"
    13
  ",9
MaxRokatansky,Предсказание остановок оборудования с использованием LSTM и Байесовского подхода,Кейс,Средний,0.1,2.1,+9,"
    30
  ",3
orokhovatskiy,Как приручить виртуальные машины,Из песочницы,Простой,0.1,12.0,+5,"
    57
  ",22
IgnatChuker,"Отчёт по региональному хакатону «Цифровой прорыв. Сезон: Искусственный интеллект», проходившему в Сочи",Репортаж,,0.13,0.803,+17,"
    4
  ",3
AshotD,Как написать новостной Телеграм-канал если ты не программист. Часть первая,Из песочницы,Средний,0.12,6.7,+14,"
    95
  ",5
pavel_shunkevich,Как получить полезную информацию из своих категориальных признаков?,Туториал,Простой,0.15,2.3,+10,"
    35
  ",5
Clickru,Автотаргетинг в Директе: к чему готовиться?,,,0.05,1.1,-1,"
    5
  ",2
Zextras,Защита от DoS-атак в Carbonio,,,0.08,0.613,+1,"
    4
  ",3
ProductStarMain,Что выбрать новичку: Python или Java?,Обзор,Простой,0.12,20.0,-15,"
    32
  ",29
Qisvis,Как я запилил видеочат-рулетку за 2 месяца с нуля,Из песочницы,Простой,0.08,4.4,+5,"
    18
  ",15
badcasedaily1,Мониторинг и трассировка в Go: от Prometheus до Jaeger,Обзор,Простой,0.25,3.3,+10,"
    60
  ",0
Gazinformservice,"Краткий обзор форума GIS DAYS 2023. День ИТ: студенческий форум, «Клуб ИT-директоров», итоги «Биржа ИТ-стартапов»",,Простой,0.07,0.463,0,"
    0
  ",2
AChernega,React vs Vue vs Angular. Часть 3,Аналитика,Средний,0.25,9.0,+2,"
    48
  ",27
LyudmilaAlt,Автоматизация маркетинга в e-commerce: 5 примеров использования,,,0.1,0.84,-2,"
    12
  ",2
